"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.689026930E-1,-2.639999986E-1,9.648000717E0,2.083950043E0
1.701626930E-1,-3.000000119E-1,9.615000725E0,2.026050091E0
1.714226930E-1,-2.779500186E-1,9.615000725E0,2.019000053E0
1.726827680E-1,-2.689500153E-1,9.652950287E0,2.064000130E0
1.739427700E-1,-2.400000095E-1,9.616950035E0,2.031000137E0
1.752027700E-1,-2.539499998E-1,9.664950371E0,2.059950113E0
1.764627700E-1,-2.659500241E-1,9.655050278E0,2.038050175E0
1.777227700E-1,-2.280000150E-1,9.631050110E0,2.016000032E0
1.789827900E-1,-2.659500241E-1,9.622050285E0,2.050050020E0
1.802430190E-1,-2.590500116E-1,9.603000641E0,2.067000151E0
1.815030210E-1,-2.689500153E-1,9.655050278E0,2.028000116E0
1.827630210E-1,-2.620500028E-1,9.643050194E0,2.035950184E0
1.840230210E-1,-3.169500232E-1,9.646050453E0,2.031000137E0
1.852830210E-1,-2.539499998E-1,9.616950035E0,2.005050182E0
1.865430210E-1,-2.830500007E-1,9.643050194E0,2.032950163E0
1.878030960E-1,-2.689500153E-1,9.688950539E0,2.062050104E0
1.890631020E-1,-2.760000229E-1,9.658050537E0,2.076000214E0
1.903231020E-1,-2.639999986E-1,9.610050201E0,2.083950043E0
1.915831020E-1,-3.120000064E-1,9.595050812E0,2.023950100E0
1.928431020E-1,-2.860500216E-1,9.610050201E0,2.040000200E0
1.941033310E-1,-2.899500132E-1,9.592950821E0,2.064000130E0
1.953633330E-1,-2.880000174E-1,9.628950119E0,2.064000130E0
1.966233330E-1,-3.000000119E-1,9.591000557E0,2.038050175E0
1.978833330E-1,-3.070500195E-1,9.655050278E0,2.076000214E0
1.991433480E-1,-2.520000041E-1,9.664950371E0,2.038050175E0
2.004033480E-1,-2.760000229E-1,9.643050194E0,2.040000200E0
2.016634230E-1,-2.590500116E-1,9.607050896E0,2.028000116E0
2.029234250E-1,-2.639999986E-1,9.624000549E0,2.007000208E0
2.041834250E-1,-2.980500162E-1,9.588000298E0,2.052000046E0
2.054434250E-1,-3.019500077E-1,9.624000549E0,2.056950092E0
2.067034250E-1,-2.500500083E-1,9.643050194E0,2.040000200E0
2.079636540E-1,-2.329500169E-1,9.592950821E0,2.044950008E0
2.092236560E-1,-2.520000041E-1,9.580950737E0,2.052000046E0
2.104836560E-1,-2.860500216E-1,9.622050285E0,2.056950092E0
2.117436560E-1,-2.860500216E-1,9.660000801E0,2.092950106E0
2.130036560E-1,-2.950500250E-1,9.664950371E0,2.080950022E0
2.142636560E-1,-2.380500138E-1,9.624000549E0,2.091000080E0
2.155236560E-1,-2.350500077E-1,9.684000015E0,2.047950029E0
2.167837300E-1,-2.779500186E-1,9.600000381E0,1.999950051E0
2.180437320E-1,-2.830500007E-1,9.600000381E0,2.068950176E0
2.193037410E-1,-2.899500132E-1,9.622050285E0,2.050050020E0
2.205637410E-1,-2.950500250E-1,9.628950119E0,2.020950079E0
2.218239700E-1,-2.899500132E-1,9.616950035E0,2.064000130E0
2.230839720E-1,-2.880000174E-1,9.672000885E0,2.091000080E0
2.243439720E-1,-2.830500007E-1,9.603000641E0,2.052000046E0
2.256039720E-1,-2.710500062E-1,9.616950035E0,2.056950092E0
2.268639720E-1,-2.710500062E-1,9.636000633E0,2.019000053E0
2.281239720E-1,-2.659500241E-1,9.663000107E0,2.032950163E0
2.293840330E-1,-2.779500186E-1,9.688950539E0,2.035950184E0
2.306440350E-1,-2.710500062E-1,9.631050110E0,2.067000151E0
2.319039580E-1,-2.980500162E-1,9.628950119E0,2.064000130E0
2.331640330E-1,-3.289500177E-1,9.636000633E0,2.074050188E0
2.344240350E-1,-3.090000153E-1,9.643050194E0,2.047950029E0
2.356842640E-1,-2.779500186E-1,9.646050453E0,2.026050091E0
2.369440350E-1,-2.539499998E-1,9.616950035E0,2.052000046E0
2.382042640E-1,-2.400000095E-1,9.636000633E0,1.996950150E0
2.394642900E-1,-2.400000095E-1,9.664950371E0,1.999950051E0
2.407242900E-1,-2.449500114E-1,9.640950203E0,2.032950163E0
2.419842900E-1,-2.950500250E-1,9.634050369E0,2.056950092E0
2.432442900E-1,-2.689500153E-1,9.646050453E0,2.050050020E0
2.445042900E-1,-2.760000229E-1,9.622050285E0,2.023950100E0
2.457643650E-1,-2.400000095E-1,9.652950287E0,2.016000032E0
2.470243670E-1,-2.860500216E-1,9.640950203E0,2.038050175E0
2.482843670E-1,-2.830500007E-1,9.604950905E0,2.076000214E0
2.495443720E-1,-2.809500098E-1,9.640950203E0,2.062050104E0
2.508046010E-1,-2.639999986E-1,9.655050278E0,2.040000200E0
2.520646030E-1,-2.639999986E-1,9.652950287E0,2.016000032E0
2.533243720E-1,-2.569500208E-1,9.667050362E0,1.999950051E0
2.545846010E-1,-2.740500271E-1,9.634050369E0,1.999950051E0
2.558446030E-1,-3.070500195E-1,9.639000893E0,2.055000067E0
2.571046780E-1,-3.070500195E-1,9.663000107E0,2.044950008E0
2.583646030E-1,-2.639999986E-1,9.595050812E0,2.052000046E0
2.596246780E-1,-2.710500062E-1,9.588000298E0,2.019000053E0
2.608846800E-1,-2.689500153E-1,9.631050110E0,2.031000137E0
2.621446800E-1,-2.880000174E-1,9.627000809E0,2.068950176E0
2.634046800E-1,-3.000000119E-1,9.622050285E0,2.068950176E0
2.646646800E-1,-3.259500265E-1,9.624000549E0,2.056950092E0
2.659246800E-1,-3.019500077E-1,9.595050812E0,2.020950079E0
2.671849080E-1,-2.880000174E-1,9.660000801E0,2.052000046E0
2.684449100E-1,-2.929500043E-1,9.670050621E0,1.983000040E0
2.697049180E-1,-2.779500186E-1,9.663000107E0,2.005050182E0
2.709649180E-1,-2.860500216E-1,9.571050644E0,2.055000067E0
2.722249930E-1,-2.400000095E-1,9.588000298E0,2.038050175E0
2.734849950E-1,-2.760000229E-1,9.660000801E0,2.068950176E0
2.747449950E-1,-2.980500162E-1,9.672000885E0,2.098050117E0
2.760049950E-1,-2.539499998E-1,9.651000023E0,2.078999996E0
2.772649950E-1,-2.830500007E-1,9.610050201E0,2.055000067E0
2.785252240E-1,-2.830500007E-1,9.619050026E0,2.103000164E0
2.797852360E-1,-2.929500043E-1,9.640950203E0,2.052000046E0
2.810452360E-1,-2.929500043E-1,9.634050369E0,2.047950029E0
2.823052360E-1,-2.880000174E-1,9.639000893E0,2.014050007E0
2.835652360E-1,-2.830500007E-1,9.634050369E0,2.035950184E0
2.848252360E-1,-2.620500028E-1,9.592950821E0,2.056950092E0
2.860852360E-1,-2.880000174E-1,9.598050117E0,2.031000137E0
2.873452360E-1,-2.760000229E-1,9.667050362E0,2.080950022E0
2.886052360E-1,-2.899500132E-1,9.634050369E0,2.064000130E0
2.898653060E-1,-2.779500186E-1,9.636000633E0,2.056950092E0
2.911253080E-1,-2.539499998E-1,9.631050110E0,2.032950163E0
2.923853080E-1,-3.310500085E-1,9.636000633E0,2.078999996E0
2.936453080E-1,-2.659500241E-1,9.610050201E0,2.068950176E0
2.949055370E-1,-2.779500186E-1,9.600000381E0,2.040000200E0
2.961655390E-1,-3.330000043E-1,9.604950905E0,2.056950092E0
2.974255390E-1,-3.070500195E-1,9.624000549E0,2.050050020E0
2.986855390E-1,-3.000000119E-1,9.619050026E0,2.008949995E0
2.999456190E-1,-2.539499998E-1,9.619050026E0,2.047950029E0
3.012056210E-1,-2.689500153E-1,9.673950195E0,2.068950176E0
3.024656210E-1,-2.899500132E-1,9.586050034E0,2.038050175E0
3.037256210E-1,-2.899500132E-1,9.627000809E0,2.056950092E0
3.049856210E-1,-2.689500153E-1,9.634050369E0,2.059950113E0
3.062456210E-1,-3.070500195E-1,9.631050110E0,2.042999983E0
3.075056210E-1,-2.809500098E-1,9.655050278E0,2.019000053E0
3.087656210E-1,-2.860500216E-1,9.648000717E0,2.068950176E0
3.100256110E-1,-2.710500062E-1,9.639000893E0,2.047950029E0
3.112858400E-1,-2.470500171E-1,9.592950821E0,2.116950035E0
3.125458420E-1,-2.620500028E-1,9.652950287E0,2.067000151E0
3.138058420E-1,-2.620500028E-1,9.667050362E0,2.056950092E0
3.150658420E-1,-2.569500208E-1,9.640950203E0,2.019000053E0
3.163258420E-1,-2.980500162E-1,9.622050285E0,2.047950029E0
3.175859170E-1,-2.620500028E-1,9.588000298E0,2.038050175E0
3.188459190E-1,-2.950500250E-1,9.624000549E0,2.032950163E0
