"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
2.920134021E0,-2.621250153E1,-9.461250305E1,-5.953125381E1
2.940136134E0,-2.604375076E1,-9.480000305E1,-5.919375229E1
2.960133890E0,-2.625000191E1,-9.521250153E1,-5.988750076E1
2.980138622E0,-2.647500038E1,-9.553125000E1,-5.919375229E1
3.000138290E0,-2.623125076E1,-9.491250610E1,-5.964375305E1
3.020135877E0,-2.694375038E1,-9.525000000E1,-5.896875381E1
3.040141164E0,-2.626875114E1,-9.553125000E1,-5.930625153E1
3.060140688E0,-2.636250114E1,-9.521250153E1,-5.850000381E1
3.080136290E0,-2.643750191E1,-9.513750458E1,-5.953125381E1
3.100138221E0,-2.632500076E1,-9.481875610E1,-5.896875381E1
3.120135748E0,-2.623125076E1,-9.481875610E1,-5.953125381E1
3.140131304E0,-2.645625114E1,-9.523125458E1,-5.872500229E1
3.160133595E0,-2.662500191E1,-9.472500610E1,-5.930625153E1
3.180133439E0,-2.655000114E1,-9.513750458E1,-5.872500229E1
3.200129066E0,-2.651250076E1,-9.461250305E1,-5.977500153E1
3.220132790E0,-2.613750076E1,-9.481875610E1,-5.953125381E1
3.240132144E0,-2.615625191E1,-9.500625610E1,-5.896875381E1
3.260137183E0,-2.625000191E1,-9.500625610E1,-5.872500229E1
3.280137242E0,-2.655000114E1,-9.350625610E1,-5.919375229E1
3.300135550E0,-2.619375038E1,-9.418125153E1,-5.908125305E1
3.320140220E0,-2.636250114E1,-9.553125000E1,-5.930625153E1
3.340139783E0,-2.632500076E1,-9.450000000E1,-5.861250305E1
3.360135594E0,-2.658750153E1,-9.410625458E1,-5.908125305E1
3.380139692E0,-2.647500038E1,-9.553125000E1,-5.919375229E1
3.400138686E0,-2.630625153E1,-9.420000458E1,-5.861250305E1
3.420131864E0,-2.628750038E1,-9.367500305E1,-5.793750381E1
3.440133887E0,-2.615625191E1,-9.511875153E1,-5.953125381E1
3.460131887E0,-2.643750191E1,-9.481875610E1,-5.885625076E1
3.480138458E0,-2.641875076E1,-9.440625000E1,-5.908125305E1
3.500140454E0,-2.651250076E1,-9.451875305E1,-5.850000381E1
3.520137705E0,-2.623125076E1,-9.470625305E1,-5.885625076E1
3.540142812E0,-2.643750191E1,-9.513750458E1,-5.941875076E1
3.560144567E0,-2.625000191E1,-9.511875153E1,-5.896875381E1
3.580143876E0,-2.623125076E1,-9.481875610E1,-5.861250305E1
3.600132673E0,-2.615625191E1,-9.511875153E1,-5.896875381E1
3.620132989E0,-2.662500191E1,-9.483750153E1,-5.953125381E1
3.640127714E0,-2.623125076E1,-9.491250610E1,-5.964375305E1
3.660132918E0,-2.628750038E1,-9.399375153E1,-5.953125381E1
3.680133385E0,-2.636250114E1,-9.543750000E1,-5.908125305E1
3.700129556E0,-2.651250076E1,-9.472500610E1,-6.022500229E1
3.720133802E0,-2.638125038E1,-9.421875000E1,-5.977500153E1
3.740131413E0,-2.641875076E1,-9.472500610E1,-5.908125305E1
3.760137309E0,-2.651250076E1,-9.472500610E1,-5.896875381E1
3.780136895E0,-2.666250038E1,-9.401250458E1,-5.941875076E1
3.800136920E0,-2.660625076E1,-9.463125610E1,-5.977500153E1
3.820130689E0,-2.675625038E1,-9.545625305E1,-5.896875381E1
3.840133011E0,-2.662500191E1,-9.472500610E1,-5.930625153E1
3.860130612E0,-2.643750191E1,-9.472500610E1,-5.896875381E1
3.880134349E0,-2.628750038E1,-9.421875000E1,-6.022500229E1
3.900133051E0,-2.613750076E1,-9.491250610E1,-5.896875381E1
3.920139598E0,-2.615625191E1,-9.500625610E1,-5.872500229E1
3.940140092E0,-2.628750038E1,-9.388125610E1,-5.805000305E1
3.960148415E0,-2.634375191E1,-9.511875153E1,-5.919375229E1
3.980151962E0,-2.623125076E1,-9.491250610E1,-5.919375229E1
4.000149907E0,-2.634375191E1,-9.481875610E1,-5.850000381E1
4.020143641E0,-2.638125038E1,-9.573750305E1,-5.896875381E1
4.040144299E0,-2.617500114E1,-9.378750610E1,-5.874375153E1
4.060142122E0,-2.634375191E1,-9.328125000E1,-5.885625076E1
4.080139057E0,-2.649375153E1,-9.431250000E1,-5.941875076E1
4.100128507E0,-2.638125038E1,-9.410625458E1,-5.885625076E1
4.120129763E0,-2.630625153E1,-9.420000458E1,-5.908125305E1
4.140126960E0,-2.634375191E1,-9.491250610E1,-5.941875076E1
4.160132088E0,-2.638125038E1,-9.388125610E1,-5.851875305E1
4.180132145E0,-2.636250114E1,-9.521250153E1,-5.908125305E1
4.200127455E0,-2.613750076E1,-9.491250610E1,-5.930625153E1
4.220130551E0,-2.638125038E1,-9.553125000E1,-5.872500229E1
4.240135644E0,-2.636250114E1,-9.521250153E1,-5.908125305E1
4.260128724E0,-2.623125076E1,-9.470625305E1,-5.919375229E1
4.280132605E0,-2.632500076E1,-9.470625305E1,-5.896875381E1
4.300131543E0,-2.604375076E1,-9.470625305E1,-5.908125305E1
4.320137757E0,-2.626875114E1,-9.521250153E1,-5.908125305E1
4.340138739E0,-2.638125038E1,-9.553125000E1,-5.850000381E1
4.360133449E0,-2.662500191E1,-9.483750153E1,-5.896875381E1
4.380136703E0,-2.619375038E1,-9.408750153E1,-5.861250305E1
4.400138356E0,-2.632500076E1,-9.461250305E1,-5.941875076E1
4.420136718E0,-2.621250153E1,-9.459375000E1,-5.919375229E1
4.440128295E0,-2.611875153E1,-9.450000000E1,-5.930625153E1
4.460129416E0,-2.656875038E1,-9.369375610E1,-5.953125381E1
4.480126492E0,-2.651250076E1,-9.440625000E1,-5.908125305E1
4.500131405E0,-2.617500114E1,-9.358125305E1,-5.861250305E1
4.520128928E0,-2.621250153E1,-9.450000000E1,-5.885625076E1
4.540134520E0,-2.645625114E1,-9.523125458E1,-5.908125305E1
4.560134851E0,-2.634375191E1,-9.307500458E1,-5.701875305E1
4.580133955E0,-2.655000114E1,-9.339375305E1,-5.885625076E1
4.600139055E0,-2.621250153E1,-9.450000000E1,-5.874375153E1
4.620139299E0,-2.611875153E1,-9.429375458E1,-5.885625076E1
4.640135097E0,-2.623125076E1,-9.266250610E1,-5.782500076E1
4.660136739E0,-2.641875076E1,-9.461250305E1,-5.930625153E1
4.680133762E0,-2.623125076E1,-9.470625305E1,-5.872500229E1
4.700138697E0,-2.604375076E1,-9.480000305E1,-5.964375305E1
4.720140066E0,-2.632500076E1,-9.461250305E1,-5.919375229E1
4.740136104E0,-2.630625153E1,-9.418125153E1,-5.769375229E1
